label,id,node
1894,1,1
1940,2,2
1902,3,3
1909,4,4
1906,5,5
1908,6,6
1911,7,7
1910,8,8
1907,9,9
1914,10,10
1913,11,11
1904,12,12
1916,13,13
1905,14,14
1917,15,15
1915,16,16
1918,17,17
1919,18,18
1934,19,19
1933,20,20
1930,21,21
1928,22,22
1969,23,23
1965,24,24
1950,25,25
1952,26,26
1949,27,27
1900,28,28
1960,29,29
1946,30,30
1948,31,31
1944,32,32
1929,33,33
1953,34,34
1945,35,35
1955,36,36
1920,37,37
1970,38,38
1924,39,39
1921,40,40
1947,41,41
1935,42,42
1964,43,43
1966,44,44
1971,45,45
1939,46,46
1958,47,47
1959,48,48
1957,49,49
1961,50,50
1963,51,51
1938,52,52
1936,53,53
1937,54,54
1943,55,55
1951,56,56
1931,57,57
1973,58,58
1972,59,59
1932,60,60
1962,61,61
1954,62,62
1967,63,63
1974,64,64
1883,65,65
1927,66,66
1926,67,67
1968,68,68
1975,69,69
1976,70,70
1941,71,71
1977,72,72
1942,73,73
1978,74,74
1956,75,75
1979,76,76
1923,77,77
1922,78,78
1912,79,79
1980,80,80
1981,81,81
1925,82,82
1982,83,83
1983,84,84
1984,85,85
1893,86,86
1985,87,87
1986,88,88
1886,89,89
1987,90,90
1899,91,91
1988,92,92
1989,93,93
1990,94,94
1991,95,95
1903,96,96
1992,97,97
1993,98,98
1994,99,99
1995,100,100
1996,101,101
1997,102,102
1998,103,103
1875,104,104
1872,105,105
1884,106,106
1877,107,107
1898,108,108
1878,109,109
1881,110,110
1901,111,111
1999,112,112
2000,113,113
2001,114,114
2002,115,115
2003,116,116
2005,117,117
2004,118,118
2006,119,119
1895,120,120
2007,121,121
2008,122,122
2009,123,123
2010,124,124
2011,125,125
2012,126,126
2013,127,127
1880,128,128
1882,129,129
1890,130,130
1891,131,131
1892,132,132
1896,133,133
1897,134,134
2014,135,135
2015,136,136
2016,137,137
2017,138,138
2018,139,139
2019,140,140
2020,141,141
1870s,142,142
1920s,143,143
1925s,144,144
1929s,145,145
1930s,146,146
1930ss,147,147
1933s,148,148
1940s,149,149
1944s,150,150
1950s,151,151
1955s,152,152
1960s,153,153
1962s,154,154
1963s,155,155
1967s,156,156
1970s,157,157
1977s,158,158
1980s,159,159
1990s,160,160
n.d,161,161
Unknown,162,162